agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
10_contingent-liabilities-and-commitments,S1,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026)`,FY2025 (year ended 31-Dec-2025),"Note 25 ""Provisions and contingent liabilities"" (a)–(d), pp. F-75–F-76",2026-04-08,5,"Provision balances, movement table, possible-loss disclosure, judicial deposits"
10_contingent-liabilities-and-commitments,S2,Audited annual filing (20-F),Same,FY2025,Consolidated Statement of Financial Position (p. F-2) and Statement of Income (p. F-3),2026-04-08,5,"Net worth US$11,321.562m; PAT US$2,871.672m; lease liabilities US$29.197m"
10_contingent-liabilities-and-commitments,S3,Audited annual filing (20-F),Same,FY2025,Item 8.A Financial Information — Legal Proceedings,2026-04-08,5,"GMF class action, 123 Milhas class action, judicial-deposit narrative figure"
10_contingent-liabilities-and-commitments,S4,Audited annual filing (20-F),Same,FY2025,"Note 24 ""Borrowings and financings"" — Covenants and Guarantees paragraphs; derivatives notional and maturity tables",2026-04-08,5,"DFC guarantee; derivative notional US$5,250.234m; hedge policy"
10_contingent-liabilities-and-commitments,S5,Audited annual filing (20-F),Same,FY2025,Item 11 Quantitative and Qualitative Disclosures About Market Risk,2026-04-08,5,"Unhedged net-investment FX table (US$9,082.370m / US$1,509.598m shock); rate-shock scenarios"
10_contingent-liabilities-and-commitments,S6,Audited annual filing (20-F),Same,FY2025,"Credit risk — ""Other exposures / Credit Commitments""; Note 27(iii)",2026-04-08,5,"Unused credit-card limits US$28,841.327m; ECL on unused limits US$44.679m"
10_contingent-liabilities-and-commitments,S7,Audited annual filing (20-F),Same,FY2025,Item 3.D Risk Factors — Consumer Protection; Litigation,2026-04-08,5,"32,703 active PROCON/small-claims proceedings; provisions-for-contingencies risk-factor figure"
10_contingent-liabilities-and-commitments,S8,Audited annual filing (20-F),Same,FY2025,Item 5.B Liquidity and Capital Resources — Capital Expenditures; DFC facility,2026-04-08,5,"Capex US$340.8m/175.0m/177.0m; DFC US$150m commitment, US$50m drawn and prepaid"
10_contingent-liabilities-and-commitments,S9,Auditor's report,Same,FY2025,"Report of Independent Registered Public Accounting Firm (PCAOB ID 1124), Critical Audit Matters, pp. F-3–F-5",2026-04-08,4,"Confirmed the ONLY critical audit matter is expected credit losses — there is no litigation or contingency CAM, and the opinion is unqualified"
10_contingent-liabilities-and-commitments,S10,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-16-2025)`,FY2024,"Note 26 ""Provision for lawsuits and administrative proceedings"" (a)–(d); Guarantees paragraph",2025-04-16,5,"FY2024 and FY2023 balances; FY2024 movement table; judicial deposits US$5,711k; Nu Mexico guarantees now extinguished"
10_contingent-liabilities-and-commitments,S11,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-19-2024)`,FY2023,"Note 24 ""Provision for lawsuits and administrative proceedings"" (a)–(d)",2024-04-19,5,FY2021/FY2022/FY2023 movement; PIS/COFINS crystallization; FY2022 possible losses
10_contingent-liabilities-and-commitments,S12,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-20-2023)`,FY2022,Item 3.D Consumer Protection; customer count,2023-04-20,5,"8,714 PROCON proceedings at Dec-2022; 74.6m customers"
10_contingent-liabilities-and-commitments,S13,Interim filing (6-K financial statements),`data/NU/Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026)`,Six months ended 30-Jun-2026,"Note 25 ""Provisions and contingent liabilities"" (a)–(d); Balance Sheet",2026-08-14,5,"H1-2026 provisions US$44,343k, movement, possible losses, judicial deposits US$6,614k comparative, total equity US$13,251.721m"
10_contingent-liabilities-and-commitments,S14,Cross-module output,`analyses/NU_2026-09-06/earnings/01_historical-financials.md`,FY2021–H1-2026,Historical financials table; source note [1],2026-09-06,4,"Net income to parent US$2,868.9m FY2025 / US$1,972.1m FY2024 (denominator cross-check)"
10_contingent-liabilities-and-commitments,S15,"Web — Colombian financial press (dated, unverified)","Forbes Colombia; abceconomia.co; agenciapi.co, retrieved via search",2025–2026,Reports on the 4x1000 / GMF class action,2026-09-06 (retrieved),2,"Admission of the class action, file number 110013103007-2025-00368-00, presiding judge, defendant count. Unverified against the primary docket"
10_contingent-liabilities-and-commitments,S16,"Web — US securities-litigation and SEC index (dated, unverified)",SEC EDGAR CIK 1691493 index; NERA 2025 securities-class-action review,2025–2026,Search results,2026-09-06 (retrieved),2,Negative result: no securities class action against Nu Holdings; no BACEN/CNBV/SFC penalty surfaced
11_accounting-forensics,S1,Audited annual filing (Tier 1),`data/NU/` FY2025 Form 20-F — `Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf`,FY2025 (with FY2024 and FY2023 comparatives),Consolidated Statements of Income F-6/F-7; Comprehensive Income F-8; Financial Position F-9/F-10,Filed 2026-04-08,5,"Battery inputs; revenue, PBT, tax, other income, total assets, equity, goodwill, borrowings, cash"
11_accounting-forensics,S2,Audited annual filing — auditor's report,Same as S1,FY2023–FY2025,"Report of Independent Registered Public Accounting Firm (PCAOB ID 1124), F-3 to F-5",Filed 2026-04-08,5,A8-19 confirmation prong; A8-20 auditor-side corroboration (opinion and ICFR only — auditor calibre belongs to `08`)
11_accounting-forensics,S3,Audited annual filing — notes,Same as S1,FY2025,"Note 3 (Basis of consolidation, F-19/F-20); Note 4 (Material accounting policies); Note 8 (Other income/expenses); Note 11 (Cash and cash equivalents); Note 15 (Compulsory deposits); Note 16 (Other receivables); Note 19 (Intangible assets and goodwill); Note 21 (Repurchase agreements); Note 24 (Borrowings and financing, incl. covenants and guarantees); Note 25 (Provisions and contingent liabilities); Note 26 (Deferred income); Note 28 (Related parties); Note 30 (Income tax); Note 33 (Capital management, F-96/F-97); Note 34 (Segment information, F-97)",Filed 2026-04-08,5,"A8-04, A8-05, A8-06, A8-07, A8-08, A8-13, A8-16, A8-19, A8-20, A14-01, A14-02"
11_accounting-forensics,S4,Audited annual filing — narrative,Same as S1,FY2025,"Item 4B (Brazilian, Mexican and Colombian regulatory framework); Item 6 (clawback / no-restatement disclosure); Item 15 (controls)",Filed 2026-04-08,5,"A8-07 (no restatement); A8-20 (regulatory framework, filings-side sweep)"
11_accounting-forensics,S5,"Interim filing (unaudited, Tier 2)",`data/NU/` Q2'26 unaudited interim condensed consolidated financial statements — `Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026).pdf`,Six months to Jun-30-2026 (with H1'25 comparatives),"Statements of Income; Statements of Financial Position; Statements of Cash Flows; Notes 16, 19, 21, 24, 25, 30, 31",Filed 2026-08-14,4,"Jun-30-26 balance sheet; H1'26 tax, revenue, other income; buyback; A14-01, A14-02"
11_accounting-forensics,S6,Cross-module input,`analyses/NU_2026-09-06/earnings/06_earnings-quality.md`,FY2021–TTM Jun-2026,"Sections 1, 1a, 2, 3, 5, 6, 8, 10",2026-09-06,5,"CFO/profit conversion, cash-backed net income, ECL coverage, collection ratios, capitalisation trend, deferred-tax finding, `RF-EQ-001` (consumed, not recomputed)"
11_accounting-forensics,S7,Cross-module input,`analyses/NU_2026-09-06/earnings/01_historical-financials.md`,FY2021–TTM Jun-2026,Multi-year series,2026-09-06,5,Multi-year context for the surviving trend tests
11_accounting-forensics,S8,Deterministic vendor sidecar (Tier 5),`ciq_facts.json` for extract generation `f9081efa…f2be`,LTM Jun-30-2026 / latest annual,"`ltm_ebitda_m` (unknown), `net_debt_ebitda_x` (unknown), `net_debt_m` −9,274.2, `total_debt_m` 5,896.7, `ltm_ocf_m` −10,304.8, `segments_revenue`, `geographic`",2026-08/09,4,"Confirming that no EBITDA line exists; vendor-basis net-debt read, reconciled and labelled against the filing-built figure"
11_accounting-forensics,S9,Vendor export (Tier 5),"Capital IQ Financials → Cash Flow (bank template), `data/NU/`",FY2021–LTM Jun-30-2026,Cash from Ops.; deposit-account movement,Data as of Aug-2026,4,The labelled CIQ-basis CFO memo line only — never headlined as the company's CFO
11_accounting-forensics,S10,"Web (dated, unverified — Tier 10)","Agência Brasil, ""Brazil's Central Bank keeps benchmark interest rate at 15% per annum""",Jan-2026,News item,2026-01,2,"Period risk-free-rate context for A8-19 only; not used in any computed ratio, because the yield test is sector-invalid and was not run"
11_accounting-forensics,S11,"Web sweep (nil results, Tier 10)",General web search — BACEN/SEC/forensic-audit sweeps,2026-09-06,"See Sweep Log rows 1, 2, 5",2026-09-06,2,"A8-20 coverage evidence; nil-result rows are the evidence of coverage, not a claim of absence"
11_accounting-forensics,—,Excluded by policy,`NU_Holdings_Deep_Dive_15_Page_Memo_30_Aug_2026.pdf`,—,—,2026-08-30,—,Verdict-bearing prior in-house memo — verdict stripped per CLAUDE.md §24. No number in this report comes from it.
12_regulatory-legal-and-compliance,S1,Annual filing (FPI),`Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf`,FY2025 (ended 2025-12-31),"Item 8.A — Legal Proceedings, p.207",filed 2026-04-08,5,The disclosed litigation register; IDC/123 Milhas and Colombian GMF matters; judicial deposits
12_regulatory-legal-and-compliance,S2,Notes to accounts,same filing,FY2025,Note 25 — Provisions and contingent liabilities,2026-04-08,5,Provisions and contingencies at 2025-12-31; movement table
12_regulatory-legal-and-compliance,S3,Annual filing,same filing,FY2025,Item 4 — Consumer Protection; Brazilian/Mexican/Colombian regulatory frameworks,2026-04-08,5,"32,703 consumer proceedings; PROCON/SENACON/TAC regime; ombudsman and whistleblowing obligations; AML/CFT frameworks"
12_regulatory-legal-and-compliance,S4,Annual filing,same filing,FY2025,"Item 16B — Code of Ethics, p.240; Compliance, Ethics and AML section",2026-04-08,5,"Whistleblower Policy, independent Whistleblower Channel, Integrity Program, policy suite"
12_regulatory-legal-and-compliance,S5,Annual filing,same filing,FY2025,Item 16J — Insider Trading Policies (Exhibit 11.1),2026-04-08,5,Insider-trading policy existence and filing
12_regulatory-legal-and-compliance,S6,Annual filing,same filing,FY2025,Item 5 — Borrowings and financing; Item 4,2026-04-08,5,DFC facility terms and prepayment; IFC B Loan; Colombian syndicated loan; margin loan balance and maturities
12_regulatory-legal-and-compliance,S7,Annual filing,same filing,FY2025,Item 16G,2026-04-08,5,"*""We were incorporated as Nu Holdings Ltd. on February 26, 2016""* — the former-name check"
12_regulatory-legal-and-compliance,S8,Interim filing,`Filings/Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026).pdf`,Q2/H1 2026 (to 2026-06-30),Statement of Financial Position; Note 25(a)–(d),filed 2026-08-14,5,"Total equity US$13,251,721k; provisions US$44,343k; contingencies; judicial deposits"
12_regulatory-legal-and-compliance,S9,Annual filings (prior years),"`Form 20-F` FY2021 (2022-04-21), FY2022 (2023-04-20), FY2023 (2024-04-19), FY2024 (2025-04-16)",FY2021–FY2024,cover pages; legal-proceedings sections,as filed,5,Filing-timeliness series; absence of any BCB sanctioning disclosure in any year
12_regulatory-legal-and-compliance,S10,Interim filings (duplicate),`Form_Interim_Report(May-14-2026)` and `(May-15-2026)`,Q1 2026,full documents,2026-05-14 / 15,5,"Established the two furnishings are identical in content — a duplicate, not an amendment"
12_regulatory-legal-and-compliance,S11,"Depositary notice (Portuguese, read and translated)","`Filings/Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-20-2026).pdf` + the Nov-2025, Aug-2025, May-2026 notices",2025-08 → 2026-08,full documents,as dated,4,The B3 BDR Level I programme and the Sponsored/Non-Sponsored description discrepancy
12_regulatory-legal-and-compliance,S12,Vendor export (tier 5),`Nu Holdings Ltd NYSE NU Fixed Income S P Global Ratings.xls` · S P Global Ratings tab,to 2026,full tab,export ~Aug-2026,4,"Nu Holdings BB- LC/FC, stable, assigned 2023-09-22, last reviewed 2025-09-22"
12_regulatory-legal-and-compliance,S13,Vendor export (tier 5),`Nu Holdings Ltd NYSE NU Key Developments.rtf`,to Aug-2026,Regulatory Authority – Compliance,export ~Aug-2026,3,CNBV bank authorisation; buyback authorisation; AGM; CFO change
12_regulatory-legal-and-compliance,S14,Regulator primary (register entry),"BCB, Processo Administrativo Sancionador PE 183936 — Nu Pagamentos S.A., `bcb.gov.br/conteudo/decap/DecisoesColegiadas/`",decision 2021-10-22,Copas decision,read 2026-09-06,3,"The single enforcement hit: R$12,500 penalty. Primary PDF unextractable on direct fetch — existence, date and amount read via the search index of that document; the conduct alleged is unread"
12_regulatory-legal-and-compliance,S15,Exchange primary,"NYSE Regulation — Noncompliant Issuers, `nyse.com/regulation/noncompliant-issuers`",current,full list,fetched 2026-09-06,4,"*""There are no Below Compliance or Late Filer issuers at this time.""* NU absent"
12_regulatory-legal-and-compliance,S16,Filing primary (web),"SEC Form 6-K, `sec.gov/Archives/edgar/data/1691493/000129281426003814/nu20260720_6k.htm`",2026-07-20,full document,fetched 2026-09-06,5,Banco Porto Real acquisition; Joint Resolution No. 17; BCB approval pending; no deadline stated
12_regulatory-legal-and-compliance,S17,Filing primary (web),"SEC Form 6-K/A, `sec.gov/Archives/edgar/data/1691493/000129281425001873/nu20250506_6ka.htm`",2025-05-06,full document,fetched 2026-09-06,5,"The one amendment in the window — an announcement amendment, no explanatory note, no restatement"
12_regulatory-legal-and-compliance,S18,"Rating agency (via agency release, carried)","S&P Global Ratings, ""Nu Financeira S.A. Upgraded To 'BB' And 'brAAA'""",action 2024-05-02,research update,read 2026-09-06,2,"The upgrade, its date and the ""second upgrade in less than one year"" language. Agency page HTTP 403 on direct fetch — dated web, unverified"
12_regulatory-legal-and-compliance,S19,"Rating agency (via communiqué, carried)","Moody's Local Brasil, Comunicado de Ação de Rating — Nubank",Jan-2026,rating action,read 2026-09-06,2,"AAA.br affirmed, stable outlook; global Ba2 (Nu Financeira) / Ba3 (Nu Holdings). Primary PDF HTTP 403 — dated web, unverified"
12_regulatory-legal-and-compliance,S20,Court record,"Juzgado Séptimo Civil del Circuito de Bogotá, file 110013103007-2025-00368-00",admitted 2025-08-22,"admission order, as reported",read 2026-09-06,2,"Corroborates the Colombian GMF class action the company disclosed. Dated web, unverified"
12_regulatory-legal-and-compliance,S21,Court record,"US District Court, M.D. Fla., `Nu Pagamentos S.A. v. Nubank.com`, 3:21-cv-00507",filed 2021-05-13,docket,read 2026-09-06 (reused from `07`),3,Party posture: Nu Pagamentos is plaintiff
12_regulatory-legal-and-compliance,S22,Consumer regulator (web),PROCON.SP / Exame — Procon-SP notification on Pix-key registration; SENACON complaint counts,date not reliably established (Procon item appears 2020-vintage); SENACON counts 2025–2026,news items,read 2026-09-06,2,"The two live/administrative consumer demands in §7. Dated web, unverified; the dating caveat is stated in-line"
12_regulatory-legal-and-compliance,S23,Cross-module,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,row 6,2026-09-06,5,"The enforcement hard lock, quoted verbatim and not re-adjudicated"
12_regulatory-legal-and-compliance,S24,Cross-module,`analyses/NU_2026-09-06/management-governance/07_people-integrity-dossiers.md`,2026-09-06,"§0A, §2B.1, §3, §3B, §4, §5, Sweep Log",2026-09-06,5,"The lineage/former-name findings, the `pending-12-reconciliation` handoff, and three reused Sweep Log rows"
12_regulatory-legal-and-compliance,S25,Cross-module,`analyses/NU_2026-09-06/management-governance/00_governance-data-triage.md`,2026-09-06,"§5A, §5B, §5E, §6",2026-09-06,5,"Jurisdiction, listing venues, regulator set, and the pre-applied cap this report establishes does not bind"
12_regulatory-legal-and-compliance,S26,Cross-module (absence recorded),`analyses/NU_2026-09-06/balance-sheet-survival/`,2026-09-06,directory listing,2026-09-06,5,`01_capital-structure-and-leverage.md` does not exist — only `00_solvency-data-triage.md`. A14-03 built from primary disclosure instead
